Error Analysis - FINGER
============================================================

Confusion Matrix:
           |   0    1    2    3    4
         0 |    5  101    2    0    0
         1 |    5  352   23    1    0
         2 |    1  125   31    0    0
         3 |    0   18    5    0    0
         4 |    0    2    0    0    0

Per-class accuracy:
Score 0: 5/108 = 4.6%
Score 1: 352/381 = 92.4%
Score 2: 31/157 = 19.7%
Score 3: 0/23 = 0.0%
Score 4: 0/2 = 0.0%

All predictions:
idx,true,pred,raw_pred,error
0,1,1,0.867,0
1,1,1,0.726,0
2,1,1,0.804,0
3,1,1,0.805,0
4,0,1,0.879,1
5,1,1,0.769,0
6,1,1,0.970,0
7,2,1,1.042,1
8,1,1,0.991,0
9,3,1,1.194,2
10,1,1,1.405,0
11,2,1,0.553,1
12,2,1,1.137,1
13,2,1,0.897,1
14,1,1,0.592,0
15,1,1,1.241,0
16,2,1,1.046,1
17,1,1,0.954,0
18,1,1,0.804,0
19,1,1,0.767,0
20,1,1,0.657,0
21,2,1,1.196,1
22,2,1,1.297,1
23,0,1,0.583,1
24,0,1,0.731,1
25,2,1,0.685,1
26,1,1,1.238,0
27,1,1,0.777,0
28,2,1,0.940,1
29,0,1,0.657,1
30,1,1,1.149,0
31,0,1,1.303,1
32,1,1,1.132,0
33,1,1,0.664,0
34,1,1,0.877,0
35,1,1,0.971,0
36,1,1,0.866,0
37,1,1,0.753,0
38,0,1,0.702,1
39,0,1,0.744,1
40,0,1,0.697,1
41,1,1,0.705,0
42,1,1,0.777,0
43,0,1,0.688,1
44,0,1,0.737,1
45,1,1,0.803,0
46,1,1,1.029,0
47,1,1,1.258,0
48,1,1,1.242,0
49,1,1,1.316,0
50,0,1,1.299,1
51,1,1,0.809,0
52,1,1,0.582,0
53,0,1,0.634,1
54,0,1,0.648,1
55,0,1,0.600,1
56,0,1,0.701,1
57,1,1,0.773,0
58,0,1,0.595,1
59,1,1,0.927,0
60,2,2,1.905,0
61,1,2,1.670,1
62,1,2,1.745,1
63,1,2,1.737,1
64,2,1,0.963,1
65,1,2,1.790,1
66,1,1,1.084,0
67,2,1,1.124,1
68,1,1,1.318,0
69,1,1,1.323,0
70,1,2,1.553,1
71,4,1,1.178,3
72,2,1,1.145,1
73,2,1,0.937,1
74,1,1,0.973,0
75,1,1,1.169,0
76,1,1,1.290,0
77,1,1,0.987,0
78,1,1,0.806,0
79,2,1,0.842,1
80,2,1,1.225,1
81,2,1,0.786,1
82,1,1,1.231,0
83,3,1,1.121,2
84,2,2,1.715,0
85,3,2,1.570,1
86,1,1,1.179,0
87,2,1,1.398,1
88,2,1,1.241,1
89,1,1,1.215,0
90,1,1,0.898,0
91,1,1,0.919,0
92,1,1,0.877,0
93,1,1,0.896,0
94,1,1,1.238,0
95,1,1,1.317,0
96,2,1,1.246,1
97,1,1,1.396,0
98,2,1,1.132,1
99,1,1,1.008,0
100,1,1,0.840,0
101,1,1,1.015,0
102,1,1,0.974,0
103,1,1,0.824,0
104,1,1,1.319,0
105,1,1,1.010,0
106,1,1,0.767,0
107,2,1,1.067,1
108,2,1,1.382,1
109,2,1,1.215,1
110,1,1,0.653,0
111,2,1,0.778,1
112,2,1,0.897,1
113,1,1,0.815,0
114,1,1,1.188,0
115,2,1,1.315,1
116,1,1,1.224,0
117,2,1,1.000,1
118,2,2,1.868,0
119,1,2,1.676,1
120,0,1,0.779,1
121,0,1,0.600,1
122,1,1,1.127,0
123,0,1,0.924,1
124,1,1,0.791,0
125,1,1,0.793,0
126,0,1,0.915,1
127,1,1,1.188,0
128,0,1,0.837,1
129,0,1,1.212,1
130,2,1,1.122,1
131,2,1,1.242,1
132,3,1,1.447,2
133,1,2,1.791,1
134,1,1,1.074,0
135,1,1,0.782,0
136,1,1,0.786,0
137,1,1,1.051,0
138,1,1,1.186,0
139,2,1,1.154,1
140,1,1,1.047,0
141,1,1,0.783,0
142,1,1,1.043,0
143,3,1,1.104,2
144,1,1,1.088,0
145,2,1,1.047,1
146,1,1,1.004,0
147,0,1,1.061,1
148,1,1,1.056,0
149,1,1,0.781,0
150,0,1,0.770,1
151,0,1,0.745,1
152,1,1,1.079,0
153,1,1,1.110,0
154,1,1,0.979,0
155,1,1,1.046,0
156,0,1,1.003,1
157,1,1,1.029,0
158,1,1,1.101,0
159,0,1,1.057,1
160,1,1,0.656,0
161,0,1,0.976,1
162,1,1,0.762,0
163,1,1,1.076,0
164,1,1,1.102,0
165,1,1,1.005,0
166,2,1,1.141,1
167,1,1,1.126,0
168,2,1,1.087,1
169,1,1,1.088,0
170,1,1,1.068,0
171,1,1,1.032,0
172,1,1,0.778,0
173,1,1,0.751,0
174,1,1,1.102,0
175,0,1,0.778,1
176,1,1,0.781,0
177,1,1,1.146,0
178,1,1,1.072,0
179,2,1,1.066,1
180,0,1,0.799,1
181,0,1,0.776,1
182,0,1,0.781,1
183,0,1,1.093,1
184,0,1,1.039,1
185,1,1,1.036,0
186,1,1,1.033,0
187,0,1,1.032,1
188,1,1,1.034,0
189,1,1,1.084,0
190,3,1,1.171,2
191,1,1,1.051,0
192,2,1,1.135,1
193,3,1,0.997,2
194,2,1,1.149,1
195,1,1,1.117,0
196,1,1,1.127,0
197,1,1,1.100,0
198,2,1,1.137,1
199,2,1,1.097,1
200,1,1,1.031,0
201,1,1,1.172,0
202,2,1,1.083,1
203,2,1,1.107,1
204,1,1,1.120,0
205,2,1,1.087,1
206,2,1,1.201,1
207,2,1,1.131,1
208,2,1,1.190,1
209,2,1,1.088,1
210,2,1,1.063,1
211,1,1,1.112,0
212,2,1,1.079,1
213,2,1,1.023,1
214,2,1,1.049,1
215,2,1,1.116,1
216,0,1,0.719,1
217,0,1,0.732,1
218,2,1,1.038,1
219,1,1,1.087,0
220,1,1,1.140,0
221,1,1,1.066,0
222,1,1,0.783,0
223,1,1,1.054,0
224,2,1,1.105,1
225,3,1,1.136,2
226,2,1,0.705,1
227,1,1,1.075,0
228,1,1,1.001,0
229,1,1,1.015,0
230,2,1,1.047,1
231,1,1,1.051,0
232,2,1,1.131,1
233,2,1,1.199,1
234,1,1,1.099,0
235,2,1,1.075,1
236,2,1,1.055,1
237,2,1,1.159,1
238,0,1,1.069,1
239,2,1,1.150,1
240,1,1,1.088,0
241,1,1,1.134,0
242,2,1,1.116,1
243,1,1,0.769,0
244,1,1,1.099,0
245,0,1,0.998,1
246,1,1,0.753,0
247,1,1,0.781,0
248,1,1,1.083,0
249,1,1,0.777,0
250,1,1,0.886,0
251,1,1,1.063,0
252,1,1,1.006,0
253,1,1,1.008,0
254,0,1,1.071,1
255,1,1,1.071,0
256,1,1,1.137,0
257,1,1,1.073,0
258,1,1,1.099,0
259,1,1,1.152,0
260,0,1,1.180,1
261,1,1,1.119,0
262,1,1,1.050,0
263,0,1,1.149,1
264,0,1,1.135,1
265,3,1,1.132,2
266,1,1,1.105,0
267,1,1,1.114,0
268,1,1,1.158,0
269,1,1,0.766,0
270,1,1,1.421,0
271,1,1,1.066,0
272,0,1,1.124,1
273,1,1,1.005,0
274,1,1,0.912,0
275,1,1,1.307,0
276,3,1,1.446,2
277,1,1,0.887,0
278,2,2,1.564,0
279,0,1,0.732,1
280,2,1,1.014,1
281,1,1,1.282,0
282,0,1,0.943,1
283,0,1,1.301,1
284,1,1,0.990,0
285,1,1,0.843,0
286,1,1,0.858,0
287,1,1,0.868,0
288,2,1,1.254,1
289,1,1,1.234,0
290,1,1,1.227,0
291,1,1,1.069,0
292,1,1,0.812,0
293,1,1,1.062,0
294,0,1,1.038,1
295,1,1,1.123,0
296,1,1,0.794,0
297,2,1,0.665,1
298,1,1,1.464,0
299,0,1,0.783,1
300,1,1,0.838,0
301,0,1,1.251,1
302,1,1,0.777,0
303,0,1,1.193,1
304,1,1,1.360,0
305,2,1,1.317,1
306,2,1,1.079,1
307,1,1,0.738,0
308,1,1,1.059,0
309,1,1,1.194,0
310,1,1,1.194,0
311,0,1,1.309,1
312,1,1,0.644,0
313,0,1,0.802,1
314,1,1,0.820,0
315,1,1,0.796,0
316,1,1,1.412,0
317,1,1,1.313,0
318,1,1,1.235,0
319,0,1,0.859,1
320,0,1,0.860,1
321,1,1,1.018,0
322,1,1,0.784,0
323,2,1,1.247,1
324,2,2,1.691,0
325,2,1,1.488,1
326,1,1,0.907,0
327,2,1,1.176,1
328,1,1,1.051,0
329,2,1,0.819,1
330,2,2,1.504,0
331,1,2,1.701,1
332,1,1,1.098,0
333,1,1,1.364,0
334,1,1,1.138,0
335,2,2,1.783,0
336,1,1,1.057,0
337,1,1,0.626,0
338,1,1,1.026,0
339,1,1,1.318,0
340,2,1,1.051,1
341,1,1,1.250,0
342,2,1,1.031,1
343,2,1,1.136,1
344,2,1,1.446,1
345,0,2,1.500,2
346,2,2,1.602,0
347,3,1,1.321,2
348,3,1,1.362,2
349,2,1,1.384,1
350,1,1,1.156,0
351,1,1,1.283,0
352,2,1,0.837,1
353,2,1,1.199,1
354,1,1,0.755,0
355,0,1,1.334,1
356,1,1,1.285,0
357,1,1,1.243,0
358,2,1,1.204,1
359,1,1,1.204,0
360,1,1,1.107,0
361,1,1,1.287,0
362,2,1,1.108,1
363,0,1,1.050,1
364,1,1,0.805,0
365,2,1,0.934,1
366,1,1,1.002,0
367,1,1,0.971,0
368,1,1,0.762,0
369,1,1,1.261,0
370,2,1,0.921,1
371,1,1,1.111,0
372,1,1,1.069,0
373,2,1,0.980,1
374,1,1,0.847,0
375,2,1,1.304,1
376,1,1,1.054,0
377,2,1,1.480,1
378,0,1,0.722,1
379,1,1,0.947,0
380,0,1,0.770,1
381,2,1,0.787,1
382,1,1,1.374,0
383,1,1,1.191,0
384,1,1,1.227,0
385,0,1,1.142,1
386,0,1,1.271,1
387,1,1,0.772,0
388,1,1,1.008,0
389,1,1,1.126,0
390,1,1,1.096,0
391,1,2,1.564,1
392,0,1,1.079,1
393,1,1,1.309,0
394,1,1,1.407,0
395,1,1,1.441,0
396,2,1,1.235,1
397,0,1,1.399,1
398,3,1,1.460,2
399,1,1,1.147,0
400,3,2,1.678,1
401,1,1,1.420,0
402,2,2,1.830,0
403,1,1,1.272,0
404,0,1,1.014,1
405,1,1,0.897,0
406,3,1,1.079,2
407,2,1,1.483,1
408,1,1,0.903,0
409,2,1,1.325,1
410,2,1,1.309,1
411,1,1,0.994,0
412,1,1,0.655,0
413,1,1,1.144,0
414,1,1,1.123,0
415,2,2,1.634,0
416,0,1,0.815,1
417,0,1,1.085,1
418,0,1,0.990,1
419,1,1,0.667,0
420,1,1,0.957,0
421,2,2,1.524,0
422,1,1,1.469,0
423,1,1,1.176,0
424,2,1,1.343,1
425,1,1,1.006,0
426,1,1,0.998,0
427,1,1,1.153,0
428,1,1,1.110,0
429,1,1,1.110,0
430,0,1,1.145,1
431,1,1,0.734,0
432,1,1,1.049,0
433,1,1,1.252,0
434,0,1,1.087,1
435,1,1,1.165,0
436,1,1,1.230,0
437,1,1,1.099,0
438,1,1,0.876,0
439,1,1,0.520,0
440,2,1,1.172,1
441,2,1,1.131,1
442,2,1,1.118,1
443,0,1,1.281,1
444,1,2,1.570,1
445,1,1,0.931,0
446,1,1,1.100,0
447,0,1,1.180,1
448,1,1,1.253,0
449,0,1,0.726,1
450,0,1,1.221,1
451,1,1,1.077,0
452,0,1,0.860,1
453,0,1,0.573,1
454,1,1,0.925,0
455,1,0,0.431,1
456,1,2,2.353,1
457,1,2,1.713,1
458,1,1,1.290,0
459,1,1,0.925,0
460,1,1,1.311,0
461,1,1,0.951,0
462,2,1,1.389,1
463,1,1,1.209,0
464,0,1,0.972,1
465,1,1,1.463,0
466,1,1,1.089,0
467,1,1,1.118,0
468,1,2,1.608,1
469,2,1,1.415,1
470,1,1,0.816,0
471,1,1,1.033,0
472,1,1,0.971,0
473,2,1,1.290,1
474,2,2,1.864,0
475,1,1,1.115,0
476,1,1,1.287,0
477,2,1,1.175,1
478,3,2,1.792,1
479,2,2,2.121,0
480,2,2,1.504,0
481,1,1,1.143,0
482,2,1,1.411,1
483,2,2,1.558,0
484,2,2,1.786,0
485,2,1,1.254,1
486,1,1,0.815,0
487,0,1,0.649,1
488,0,1,0.780,1
489,1,1,0.854,0
490,1,1,0.937,0
491,2,1,0.968,1
492,1,1,0.871,0
493,1,1,0.773,0
494,1,1,1.010,0
495,1,1,0.776,0
496,1,1,1.100,0
497,0,1,1.145,1
498,1,1,0.923,0
499,2,1,1.397,1
500,3,1,1.160,2
501,2,1,1.373,1
502,1,1,0.989,0
503,2,1,1.076,1
504,2,2,1.591,0
505,1,1,1.136,0
506,1,1,0.955,0
507,3,1,1.209,2
508,1,1,1.184,0
509,2,2,1.501,0
510,2,1,1.210,1
511,2,1,1.066,1
512,0,0,0.263,0
513,1,0,0.392,1
514,0,1,0.562,1
515,0,1,0.717,1
516,0,1,0.554,1
517,1,1,0.886,0
518,1,1,0.841,0
519,1,1,0.768,0
520,1,1,0.858,0
521,1,1,0.969,0
522,2,0,0.498,2
