Error Analysis - GAIT
============================================================

Confusion Matrix:
           |   0    1    2    3    4
         0 |  137   24    2    0    0
         1 |   33   81   12    0    0
         2 |    5   14   35    2    0
         3 |    1    0    5    2    0
         4 |    0    0    0    0    0

Per-class accuracy:
Score 0: 137/163 = 84.0%
Score 1: 81/126 = 64.3%
Score 2: 35/56 = 62.5%
Score 3: 2/8 = 25.0%

All predictions:
idx,true,pred,raw_pred,error
0,0,0,0.187,0
1,0,0,0.295,0
2,0,0,0.135,0
3,0,0,0.233,0
4,0,0,0.365,0
5,0,0,0.169,0
6,1,1,0.761,0
7,0,1,0.599,1
8,0,0,0.165,0
9,0,0,0.291,0
10,0,0,0.303,0
11,1,1,0.988,0
12,1,1,0.973,0
13,1,1,0.697,0
14,0,0,0.132,0
15,1,0,0.436,1
16,1,1,0.903,0
17,0,0,0.137,0
18,2,1,0.758,1
19,2,1,0.681,1
20,3,2,2.292,1
21,2,2,1.954,0
22,0,0,0.359,0
23,0,0,0.151,0
24,0,0,0.193,0
25,0,0,0.411,0
26,0,0,0.167,0
27,1,1,1.396,0
28,2,2,1.604,0
29,0,0,0.158,0
30,0,0,0.165,0
31,1,1,0.662,0
32,2,1,1.353,1
33,0,0,0.164,0
34,1,1,1.026,0
35,1,1,0.567,0
36,0,0,0.156,0
37,0,0,0.140,0
38,0,1,0.782,1
39,2,2,2.220,0
40,1,1,0.776,0
41,1,1,1.420,0
42,3,2,2.119,1
43,2,2,1.510,0
44,1,0,0.194,1
45,1,1,0.571,0
46,1,0,0.476,1
47,1,1,0.804,0
48,1,1,0.751,0
49,1,1,0.939,0
50,2,2,1.565,0
51,2,2,1.679,0
52,1,1,1.127,0
53,2,2,1.899,0
54,1,2,1.749,1
55,0,0,0.269,0
56,0,0,0.236,0
57,1,1,0.769,0
58,1,0,0.183,1
59,2,2,1.533,0
60,0,0,0.468,0
61,1,2,1.571,1
62,0,0,0.317,0
63,0,0,0.138,0
64,0,0,0.154,0
65,1,0,0.212,1
66,0,0,0.218,0
67,0,0,0.273,0
68,0,1,0.694,1
69,0,0,0.239,0
70,1,1,0.853,0
71,0,0,0.175,0
72,1,1,0.800,0
73,0,0,0.176,0
