Task,Model,Accuracy,MAE,Within-1,Improvement
Finger Tapping,ET_300,60.4%,0.428,96.9%,+1.3%
Finger Tapping,RF_300,60.3%,0.427,97.1%,+1.2%
Finger Tapping,VotingEnsemble,60.3%,0.429,96.9%,+1.2%
Finger Tapping,RF_200,59.8%,0.433,97.0%,+0.7%
Finger Tapping,RF_500,59.5%,0.434,97.1%,+0.4%
Finger Tapping,RF_100,59.2%,0.437,97.3%,+0.1%
Finger Tapping,ET_200,58.8%,0.443,97.0%,-0.3%
Finger Tapping,Ada_100,58.8%,0.441,97.4%,-0.3%
Finger Tapping,StackingEnsemble,58.8%,0.442,97.1%,-0.3%
Finger Tapping,StackingMLP,57.7%,0.455,96.9%,-1.4%
Finger Tapping,GB_200,57.3%,0.478,95.5%,-1.8%
Finger Tapping,GB_100,56.3%,0.491,95.3%,-2.8%
Finger Tapping,MLP_100_50,53.6%,0.526,94.5%,-5.5%
Finger Tapping,MLP_200_100,52.4%,0.527,95.5%,-6.7%
Gait,StackingEnsemble,70.0%,0.329,97.2%,+2.9%
Gait,MLP,69.5%,0.321,98.4%,+2.4%
Gait,RF_500,67.6%,0.357,96.9%,+0.5%
Gait,VotingEnsemble,66.9%,0.364,97.2%,-0.2%
Gait,RF_100,66.4%,0.368,97.2%,-0.7%
Gait,ET_300,66.4%,0.380,96.2%,-0.7%
Gait,RF_300,66.2%,0.369,96.9%,-0.9%
Gait,ET_200,65.7%,0.385,96.0%,-1.4%
Gait,RF_200,65.3%,0.387,96.2%,-1.8%
Gait,GB_200,64.3%,0.392,96.9%,-2.8%
Gait,GB_100,63.9%,0.401,96.5%,-3.2%
Gait,Ada_100,62.9%,0.406,96.7%,-4.2%
